kode_bps,nama_bps,kode_pos,nama_pos
1401010006,AIR BULUH,29564,Air Buluh
1706010016,AIR BULUH,38764,Air Buluh
1901070004,AIR BULUH,33273,Air Buluh
6106020004,AIR DEKAKAH,78864,Air Dekakah
1706041001,AIR DIKIT,38772,Air Dikit
1101020031,AIR DINGIN,23891,Air Dingin
1702031007,AIR DINGIN,39181,Air Dingin
1704030014,AIR DINGIN,38911,Air Dingin
6206030002,AIR DUA,74773,Air Dua
1702042009,AIR DUKU,39153,Air Duku
1901091003,AIR DUREN,33255,Air Duren
6106032004,AIR DURIAN JAYA,78865,Air Durian Jaya
1404021010,AIR EMAS,28388,Air Emas
1601140006,AIR GADING,32129,Air Gading
1607080015,AIR GADING,30975,Air Gading
1903051007,AIR GANTANG,33363,Air Gantang
9416010049,AIR GARAM,99041,Air Garam
1509025005,AIR GEMURUH,37229,Air Gemuruh
1208070009,AIR GENTING,21272,Air Ginting
2102063004,AIR GLUBI,29195,Air Gelubi
1501071013,AIR HANGAT,37153,Air Hangat
1213150002,AIR HITAM,20856,Air Hitam
1219040019,AIR HITAM,21655,Air Hitam
1223080001,AIR HITAM,21775,Air Hitam
1404021004,AIR HITAM,28388,Air Hitam
1471011003,AIR HITAM,28234,Air Hitam
1602121003,AIR HITAM,30651,Air Itam
1706020005,AIR HITAM,38766,Air Hitam
1708070016,AIR HITAM,39371,Air Hitam
6472050007,AIR HITAM,75124,Air Hitam
6106010001,AIR HITAM BESAR,78862,Air Hitam Besar
6106010013,AIR HITAM HULU,78862,Airhitam Hulu
1606010014,AIR ITAM,30753,Air Itam
1612040012,AIR ITAM,31263,Air Itam
1612040013,AIR ITAM TIMUR,31263,Air Itam Timur
1704020018,AIR JELATANG,38965,Air Jelatang
1402050017,AIR JERNIH,29351,Air Jernih
1208100002,AIR JOMAN,21263,Air Joman
1208100003,AIR JOMAN BARU,21263,Air Joman Baru
1901130013,AIR JUKUNG,33254,Air Jukung
1611031010,AIR KANDIS,31896,Air Kandis
1706041007,AIR KASAI,38772,Air Kasai
1674021004,AIR KATI,31639,Air Kati
1702030045,AIR KATI,39182,Air Kati
1906031005,AIR KELIK,33573,Air Kelik
1701061002,AIR KEMANG,38572,Air Kemang
5307050010,AIR KENARI,85819,Air Kenari
1704071003,AIR KERING I,38957,Air Kering
1704071003,AIR KERING I,38957,Air Kering II
1704071010,AIR KERING II,38957,Air Kering II
1705033004,AIR KERUH,38886,Air Keruh
1707053005,AIR KOPRAS,39274,Air Kopras
1709060020,AIR KOTOK,38372,Air Kotok
1903050019,AIR KUANG,33362,Air Kuang
1802032002,AIR KUBANG,35663,Air Kubang
5101021002,AIR KUNING,82219,Air Kuning
1674031006,AIR KUTI,31626,Air Kuti
1502020017,AIR LAGO,37371,Air Lago
1702043001,AIR LANANG,39128,Air Lanang
1705042003,AIR LATAK,38883,Air Latak
2103052003,AIR LENGIT,29762,Air Lengit
1502067001,AIR LIKI,37365,Air Liki
1502067010,AIR LIKI BARU,37365,Air Liki Baru
1603070013,AIR LIMAU,31382,Air Limau
1604051018,AIR LINGKAR,31466,Air Lingkar
1603050016,AIR LINTANG,31316,Air Lintang
1903020003,AIR LINTANG,33365,Air Lintang
1704020002,AIR LONG,38965,Air Long
5307041007,AIR MANCUR,85874,Air Mancur
9404081005,AIR MANDIDI,98845,Air Mandidi
8204020022,AIR MANGGA,97961,Air Mangga Indah
1371040003,AIR MANIS,25217,Air Manis
1114050004,AIR MASIN,24473,Air Masin
5371041001,AIR MATA,85221,Airmata
1611040010,AIR MAYAN,31898,Air Mayam
1705020013,AIR MELANCAR,38873,Air Melancar
1702042001,AIR MELES ATAS,39153,Air Meles Atas
1702047006,AIR MELES BAWAH,39131,Air Meles Bawah
1903040012,AIR MENDUYUNG,33366,Air Menduyung
1222050005,AIR MERAH,21563,Air Merah
1702044009,AIR MERAH,39138,Air Merah
1902060018,AIR MERBAU,33419,Air Merbau
1402040009,AIR MOLEK I,29352,Air Molek
1402040011,AIR MOLEK II,29352,Air Molek II
1501010008,AIR MUMU,37174,Air Mumu
1702041008,AIR MUNDU,39152,Air Mundu
1703100004,AIR MURING,38662,Air Muring
1802032005,AIR NANINGAN,35663,Air Naningan
1703051004,AIR NAPAL,38673,Air Napal
1709061008,AIR NAPAL,38393,Air Napal
1702033009,AIR NAU,39185,Air Nau
5371031003,AIR NONA,85115,Airnona
2103062002,AIR NUSA,29785,Air Nusa
1903040010,AIR NYATOH,33366,Air Nyatoh
6107190009,AIR NYURUK,78652,Air Nyuruk
1371110002,AIR PACAH,25176,Aie Pacah
1703070007,AIR PADANG,38653,Air Padang
1407011004,AIR PANAS,28553,Air Panas
7208022004,AIR PANAS,94452,Air Panas
1703100009,AIR PANDAN,38662,Air Pandan
2103042001,AIR PAYANG,29754,Air Payang
1705030051,AIR PAYANGAN,38874,Air Payangan
1705051008,AIR PERIUKAN,38881,Air Periukan
1708030010,AIR PESI,39376,Air Pesi
1703100001,AIR PETAI,38662,Air Petai
1702041002,AIR PIKAT,39152,Air Pikat
1101020022,AIR PINANG,23891,Air Pinang
1103050014,AIR PINANG,23719,Air Pinang
1208090021,AIR PUTIH,21264,Air Putih
1402043031,AIR PUTIH,29358,Air Putih
1903030008,AIR PUTIH,33317,Air Putih
2103030005,AIR PUTIH,29784,Air Putih
6112030015,AIR PUTIH,78384,Air Putih
6472050008,AIR PUTIH,75124,Air Putih
1702043010,AIR PUTIH BARU,39122,Air Putih Baru
1606022014,AIR PUTIH ILIR,30757,Air Putih Ilir
1702040012,AIR PUTIH LAMA,39112,Air Putih Lama
1606022009,"AIR PUTIH ULU (C1,2)",30757,Air Putih Ulu
2171030008,AIR RAJA,29488,Air Raja
2172020003,AIR RAJA,29145,Air Raja
1708020017,AIR RAMAN,39374,Air Raman
1702040013,AIR RAMBAI,39111,Air Rambai
1706011001,AIR RAMI,38761,Air Rami
2103062003,AIR RINGAU,29785,Air Ringau
1807031005,AIR RINGKIH,34784,Air Ringkih
1901091004,AIR RUAI,33255,Air Ruai
1608020022,AIR RUPIK,32274,Air Rupik
1702034004,AIR RUSA,39186,Air Rusa
1902060016,AIR SAGA,33415,Air Saga
1971031001,AIR SALEMBA,33119,Air Salemba
8202031008,AIR SALOBAR,97856,Air Salobar
1377021012,AIR SANTOK,25546,Air Santok
1605050027,AIR SATAN,31661,Air Satan
1709010001,AIR SEBAKUL,38385,Air Sebakul
1708030002,AIR SELIMANG,39376,Air Selimang
1902062004,AIR SELUMAR,33454,Air Selumar
1708060008,AIR SEMPIANG,39372,Air Sempiang
2105060002,AIR SENA,29995,Air Sena
1607021002,AIR SENGGERIS,30951,Air Senggiris
1103060011,AIR SIALANG HILIR,23752,Air Sialang Hilir.
1103060009,AIR SIALANG HULU,23752,Air Sialang Hulu
1103060010,AIR SIALANG TENGAH,23752,Air Sialang Tengah
1607091007,AIR SOLOK BATU,30973,Air Solok Batu
1701045002,AIR SULAU,38556,Air Sulau
5207050004,AIR SUNING,84454,Air Suning
1603070007,AIR TALAS,31382,Air Talas
1403120006,AIR TAWAR,29255,Air Tawar
6308070041,AIR TAWAR,71471,Air Tawar
1371070018,AIR TAWAR BARAT,25132,Air Tawar Barat
1371070017,AIR TAWAR TIMUR,25132,Air Tawar Timur
1208070004,AIR TELUK HESSA,21272,Air Teluk Hessa
1674021007,AIR TEMAM,31636,Air Teman
1701062010,AIR TENAM,38579,Air Tenam Dalam
1501070028,AIR TENANG,37161,Air Tenang
