BPS code,Area Name,postal code
3276050,BEJI,16424
3276050,BEJI,16425
3276050,BEJI,16426
3276020,PANCORAN MAS,16431
3276020,PANCORAN MAS,16432
3276020,PANCORAN MAS,16433
3276020,PANCORAN MAS,16434
3276020,PANCORAN MAS,16435
3276020,PANCORAN MAS,16436
3276021,CIPAYUNG,16441
3276021,CIPAYUNG,16442
3276021,CIPAYUNG,16443
3276021,CIPAYUNG,16444
3276021,CIPAYUNG,16445
3276040,CIMANGGIS,16451
3276040,CIMANGGIS,16452
3276040,CIMANGGIS,16453
3276040,CIMANGGIS,16454
3276041,TAPOS,16461
3276041,TAPOS,16462
3276041,TAPOS,16463
3276041,TAPOS,16464
3276041,TAPOS,16465
3276041,TAPOS,16466
3276041,TAPOS,16467
3276031,CILODONG,16471
3276031,CILODONG,16472
3276031,CILODONG,16473
3276031,CILODONG,16474
3276031,CILODONG,16475
3276,DEPOK,16500
3276010,SAWANGAN,16511
3276010,SAWANGAN,16516
3276010,SAWANGAN,16518
3276010,SAWANGAN,16519
3276011,BOJONGSARI,16521
3276011,BOJONGSARI,16522
3276011,BOJONGSARI,16523
3276011,BOJONGSARI,16524
3276011,BOJONGSARI,16525
3276011,BOJONGSARI,16526
3276011,BOJONGSARI,16527
3276060,LIMO,16531
3276060,LIMO,16532
3276060,LIMO,16533
3276060,LIMO,16534
3276061,CINERE,16541
3276061,CINERE,16542
3276061,CINERE,16543
3276061,CINERE,16544
3201,BOGOR,16600
3201070,CIOMAS,16611
3201070,CIOMAS,16612
3201070,CIOMAS,16613
3201070,CIOMAS,16614
3201070,CIOMAS,16615
3201070,CIOMAS,16616
3201070,CIOMAS,16617
3201070,CIOMAS,16618
3201070,CIOMAS,16619
3201050,CIAMPEA,16621
3201050,CIAMPEA,16622
3201050,CIAMPEA,16623
3201050,CIAMPEA,16624
3201050,CIAMPEA,16625
3201050,CIAMPEA,16626
3201050,CIAMPEA,16627
3201050,CIAMPEA,16628
3201050,CIAMPEA,16629
3201040,CIBUNGBULANG,16631
3201040,CIBUNGBULANG,16632
3201040,CIBUNGBULANG,16633
3201040,CIBUNGBULANG,16634
3201040,CIBUNGBULANG,16635
3201040,CIBUNGBULANG,16636
3201040,CIBUNGBULANG,16637
3201040,CIBUNGBULANG,16638
3201040,CIBUNGBULANG,16639
3201020,LEUWILIANG,16641
3201020,LEUWILIANG,16642
3201020,LEUWILIANG,16643
3201020,LEUWILIANG,16644
3201020,LEUWILIANG,16645
3201020,LEUWILIANG,16646
3201020,LEUWILIANG,16647
3201020,LEUWILIANG,16648
3201020,LEUWILIANG,16649
3201010,NANGGUNG,16651
3201010,NANGGUNG,16652
3201010,NANGGUNG,16653
3201010,NANGGUNG,16654
3201010,NANGGUNG,16655
3201010,NANGGUNG,16656
3201010,NANGGUNG,16657
3201010,NANGGUNG,16658
3201010,NANGGUNG,16659
3201270,CIGUDEG,16661
3201270,CIGUDEG,16662
3201270,CIGUDEG,16663
3201270,CIGUDEG,16664
3201270,CIGUDEG,16665
3201270,CIGUDEG,16666
3201270,CIGUDEG,16667
3201270,CIGUDEG,16668
3201270,CIGUDEG,16669
3201280,JASINGA,16671
3201280,JASINGA,16672
3201280,JASINGA,16673
3201280,JASINGA,16674
3201280,JASINGA,16675
3201280,JASINGA,16676
3201280,JASINGA,16677
3201280,JASINGA,16678
3201280,JASINGA,16679
3201060,DRAMAGA,16681
3201060,DRAMAGA,16682
3201060,DRAMAGA,16683
3201060,DRAMAGA,16684
3201060,DRAMAGA,16685
3201060,DRAMAGA,16686
3201060,DRAMAGA,16687
3201060,DRAMAGA,16688
3201060,DRAMAGA,16689
3201030,PAMIJAHAN,16691
3201030,PAMIJAHAN,16692
3201030,PAMIJAHAN,16693
3201030,PAMIJAHAN,16694
3201030,PAMIJAHAN,16695
3201030,PAMIJAHAN,16696
3201030,PAMIJAHAN,16697
3201030,PAMIJAHAN,16698
3201030,PAMIJAHAN,16699
3201,BOGOR,16700
3201130,SUKARAJA,16711
3201130,SUKARAJA,16712
3201130,SUKARAJA,16713
3201130,SUKARAJA,16714
3201130,SUKARAJA,16715
3201130,SUKARAJA,16716
3201130,SUKARAJA,16717
3201130,SUKARAJA,16718
3201130,SUKARAJA,16719
3201100,CIAWI,16721
3201100,CIAWI,16722
3201100,CIAWI,16723
3201100,CIAWI,16724
3201100,CIAWI,16725
3201100,CIAWI,16726
3201100,CIAWI,16727
3201100,CIAWI,16728
3201100,CIAWI,16729
3201090,CARINGIN,16731
3201090,CARINGIN,16732
3201090,CARINGIN,16733
3201090,CARINGIN,16734
3201090,CARINGIN,16735
